관리번호,위도,경도,geometry
동_08-46,37.594732,127.068717,POINT (127.068717 37.594732)
동_08-47,37.594451,127.068821,POINT (127.068821 37.594451)
동_08-48,37.594169,127.068916,POINT (127.068916 37.594169)
동_08-49,37.593881,127.068992,POINT (127.068992 37.593881)
동_08-50,37.593584,127.069071,POINT (127.069071 37.593584)
동_08-51,37.593253,127.069179,POINT (127.069179 37.593253)
동_08-52,37.59286,127.069353,POINT (127.069353 37.59286)
동_08-53,37.591245,127.069874,POINT (127.069874 37.591245)
동_08-54,37.590335,127.069907,POINT (127.069907 37.590335)
동_08-55,37.589483,127.070084,POINT (127.070084 37.589483)
동_08-56,37.58895,127.070208,POINT (127.070208 37.58895)
동_08-57,37.588191,127.070437,POINT (127.070437 37.588191)
동_08-58,37.587512,127.070715,POINT (127.070715 37.587512)
동_08-59,37.596162,127.068578,POINT (127.068578 37.596162)
동_08-60,37.595764,127.068635,POINT (127.068635 37.595764)
동_08-61,37.595302,127.068737,POINT (127.068737 37.595302)
동_08-62,37.594864,127.068843,POINT (127.068843 37.594864)
동_08-63,37.59444,127.068996,POINT (127.068996 37.59444)
동_08-64,37.594002,127.069134,POINT (127.069134 37.594002)
동_08-65,37.593586,127.069284,POINT (127.069284 37.593586)
동_08-66,37.593191,127.069413,POINT (127.069413 37.593191)
동_08-67,37.592835,127.069552,POINT (127.069552 37.592835)
동_08-68,37.592488,127.069688,POINT (127.069688 37.592488)
동_08-69,37.592104,127.069823,POINT (127.069823 37.592104)
동_08-70,37.591791,127.069929,POINT (127.069929 37.591791)
동_08-71,37.590912,127.070042,POINT (127.070042 37.590912)
동_08-72,37.590007,127.070105,POINT (127.070105 37.590007)
동_08-73,37.589219,127.0703,POINT (127.0703 37.589219)
동_08-74,37.588581,127.070473,POINT (127.070473 37.588581)
동_08-75,37.587881,127.070696,POINT (127.070696 37.587881)
동_08-76,37.587176,127.071098,POINT (127.071098 37.587176)
동_09-01,37.586804,127.071153,POINT (127.071153 37.586804)
동_09-02,37.586264,127.071612,POINT (127.071612 37.586264)
동_09-03,37.585693,127.072141,POINT (127.072141 37.585693)
동_09-13,37.586628,127.071541,POINT (127.071541 37.586628)
동_09-14,37.586079,127.072005,POINT (127.072005 37.586079)
동_10-11,37.572203,127.077345,POINT (127.077345 37.572203)
동_10-22,37.572458,127.077521,POINT (127.077521 37.572458)
동_10-23,37.571726,127.077438,POINT (127.077438 37.571726)
동_11-01,37.571347,127.077188,POINT (127.077188 37.571347)
동_11-02,37.570716,127.076957,POINT (127.076957 37.570716)
동_11-03,37.570093,127.07665,POINT (127.07665 37.570093)
동_11-04,37.569476,127.076321,POINT (127.076321 37.569476)
동_11-05,37.568836,127.075952,POINT (127.075952 37.568836)
동_11-06,37.568208,127.075596,POINT (127.075596 37.568208)
동_11-07,37.567515,127.075213,POINT (127.075213 37.567515)
동_11-08,37.566919,127.074876,POINT (127.074876 37.566919)
동_11-09,37.566294,127.07449,POINT (127.07449 37.566294)
동_11-10,37.565684,127.074084,POINT (127.074084 37.565684)
동_11-11,37.565431,127.073933,POINT (127.073933 37.565431)
동_11-12,37.565189,127.073771,POINT (127.073771 37.565189)
동_11-13,37.564936,127.073608,POINT (127.073608 37.564936)
동_11-14,37.564687,127.073452,POINT (127.073452 37.564687)
동_11-15,37.564445,127.073296,POINT (127.073296 37.564445)
동_11-16,37.564211,127.073155,POINT (127.073155 37.564211)
동_11-17,37.563966,127.073009,POINT (127.073009 37.563966)
동_11-18,37.563734,127.072875,POINT (127.072875 37.563734)
동_11-19,37.563507,127.072745,POINT (127.072745 37.563507)
동_11-20,37.563271,127.072615,POINT (127.072615 37.563271)
동_11-21,37.563029,127.072477,POINT (127.072477 37.563029)
동_11-22,37.562787,127.072344,POINT (127.072344 37.562787)
동_11-23,37.564967,127.073788,POINT (127.073788 37.564967)
동_11-24,37.564281,127.073392,POINT (127.073392 37.564281)
동_11-25,37.563709,127.073081,POINT (127.073081 37.563709)
동_11-26,37.563021,127.072685,POINT (127.072685 37.563021)
동_11-27,37.570939,127.077213,POINT (127.077213 37.570939)
