MGRNU,STAT_CDE,A004_KND_C,HOL,VEL,AW_SN_QUA,AW_SN_LENX,EVE_CDE,OD_PE_CDE,GU_CDE,DONG_CDE,JIBUN,NW_PE_CDE,WORK_CDE,VIEW_CDE,ROD_GBN_CD,TFC_BSS_CD,SIXID,ESB_YMD,CAE_YMD,HISID,CTK_MGRNU,CRS_MGRNU,FRM_CDE,CSS_CDE,RN_CDE,MNG_AGEN,geometry,length_m
06-0000013826,001,002,15.0,8.0,2.0,001,001,200,230,10600,469-1 도,200,001,002,002,109,5332442,,,79838.0,2010-1006-001,06-013826,005,,,,"POLYGON ((206378.015625 552986.3125, 206379.875 552985.25, 206381.34375 552985.0625, 206380.890625 552979.125, 206379.265625 552978.8125, 206378.515625 552978.5625, 206377.375 552977.875, 206378.015625 552986.3125))",1m
06-0000013827,001,002,,,2.0,001,001,200,230,10600,92-90 도,200,001,002,002,109,5332472,,,79840.0,2010-1006-001,06-013827,005,,,,"POLYGON ((206384.80000003902 553109.856244296, 206385.30000003902 553117.981244295, 206386.796875 553117.437499871, 206388.17500003902 553116.918744297, 206387.86250003902 553111.356244295, 206386.40625 553110.81249987, 206384.80000003902 553109.856244296))",1m
06-0000013829,001,001,,,2.0,001,001,200,230,10600,476-4도,200,001,002,002,109,5331493,,,12938.0,2004-0508-037,06-013829,001,,,,"POLYGON ((206421.35347427402 552747.797042425, 206428.645142213 552747.380374487, 206428.506249085 552743.838708457, 206421.075695649 552744.3248191441, 206421.35347427402 552747.797042425))",1m
06-0000013830,001,001,,,2.0,001,001,200,230,10600,476-4도,200,001,002,002,109,5331593,,,12939.0,2004-0508-037,06-013830,001,,,,"POLYGON ((206428.992363587 552746.547040518, 206432.46458496098 552743.352597641, 206432.047920838 552739.810929831, 206428.575699464 552738.908151206, 206428.992363587 552746.547040518))",1m
06-0000013831,001,003,15.0,8.0,0.0,001,001,200,230,10600,320-15대,200,001,002,002,109,5331492,,,82242.0,2011-0108-007,06-013831,005,,,,"POLYGON ((206413.703125 552744.8125, 206416.21875 552744.6875, 206417.484375 552744.625, 206417.328125 552738.625, 206413.5 552738.8125, 206413.703125 552744.8125))",1m
06-0000013832,001,002,15.0,8.0,2.0,001,001,200,230,10600,311-3대,200,001,002,001,109,5331376,,,77862.0,2010-1006-001,06-013832,005,,,,"POLYGON ((206331.640625 552618, 206332.390625 552618.3125, 206333.234375 552618.6875, 206333.796875 552619.1875, 206334.484375 552619.9375, 206333.8125 552604.8125, 206333.265625 552605.875, 206332.515625 552606.875, 206331.453125 552607.6875, 206330.40625 552607.75, 206330.859375 552617.8125, 206331.640625 552618))",1m
06-0000013833,001,002,15.0,8.0,2.0,001,001,200,230,10600,311-6대,200,001,002,001,109,5331372,,,76664.0,2010-1006-001,06-013833,005,,,,"POLYGON ((206357.578125 552621.4375, 206361.171875 552617.25, 206360.640625 552604.9375, 206356.734375 552603.6875, 206357.578125 552621.4375))",1m
06-0000013834,001,002,15.0,8.0,2.0,001,001,200,230,10600,312-7대,200,001,002,001,109,5331396,,,12943.0,2004-0108-109,06-013834,005,,,,"POLYGON ((206364.515625 552748.5625, 206367.15625 552747.5625, 206366.96875 552741.5625, 206364.1875 552739.8125, 206364.515625 552748.5625))",1m
06-0000013836,001,002,15.0,8.0,2.0,001,001,200,230,10600,312-2대,200,001,002,002,109,5331397,,,79771.0,2010-1006-001,06-013836,005,,,,"POLYGON ((206337.84375 552749.5625, 206340.703125 552749.625, 206340.515625 552742.0625, 206337.640625 552743.5, 206337.84375 552749.5625))",1m
06-0000013838,001,002,15.0,8.0,2.0,001,001,200,230,10600,313-8대,200,001,002,002,109,5332324,,,79835.0,2010-1006-001,06-013838,005,3438,,,"POLYGON ((206372.578125 552868.3125, 206374.109375 552867.875, 206373.453125 552857.6875, 206371.625 552857.3125, 206370 552856.5, 206370.90625 552869.5, 206371.5625 552868.8125, 206372.578125 552868.3125))",1m
06-0000013839,001,002,15.0,8.0,2.0,001,001,200,230,10600,475-6도,200,001,002,002,109,,,,15055.0,2000-0000-000,06-013839,,,,,"POLYGON ((206270.096490689 552626.9999401179, 206278.310669898 552625.859248308, 206281.504844622 552622.322999721, 206266.560093569 552623.5772705511, 206269.411996385 552625.517100178, 206270.096490689 552626.9999401179))",1m
06-0000013840,001,002,15.0,8.0,2.0,001,001,200,230,10600,475-6도,200,003,002,002,109,,,,79205.0,2010-1006-001,06-013840,005,,,,"POLYGON ((206162.05340936 552636.1453038941, 206167.349390067 552635.730250313, 206169.53024090698 552632.614947157, 206158.833983852 552633.44527712, 206162.05340936 552636.1453038941))",1m
06-0000013841,001,002,15.0,8.0,2.0,001,001,200,230,10600,293-22도,200,001,002,002,109,,,,22457.0,2000-0000-000,06-013841,,,,,"POLYGON ((206106.447889462 552675.117859752, 206108.10939108 552672.4177339551, 206106.44803799602 552668.886758327, 206103.124737692 552667.6409291821, 206106.447889462 552675.117859752))",1m
06-0000013842,001,002,15.0,8.0,2.0,001,001,200,230,10600,475-7도,200,001,002,002,109,,,,13012.0,2000-0000-000,06-013842,,,,,"POLYGON ((206093.05244732503 552639.497964423, 206096.790850721 552638.874839428, 206093.675720855 552630.463035696, 206089.625371248 552630.463134719, 206093.05244732503 552639.497964423))",1m
06-0000013843,001,002,,,2.0,001,001,200,230,10600,122-23대,200,001,002,002,109,5321771,,,12112.0,2000-0000-000,06-013843,004,,,,"POLYGON ((206071.844280574 552619.3314256349, 206075.27797520402 552620.22717206, 206070.12743325898 552608.358531925, 206068.858459156 552612.5386819111, 206071.844280574 552619.3314256349))",1m
06-0000013844,001,002,15.0,8.0,2.0,001,001,200,230,10600,142-40 도,200,001,002,002,109,,,,12113.0,2000-0000-000,06-013844,,,,,"POLYGON ((206015.99740100498 552645.727085394, 206021.709177963 552643.131007683, 206023.786352053 552640.119505056, 206014.33599841 552644.5845616639, 206015.58197609 552644.68843646, 206015.99740100498 552645.727085394))",1m
06-0000013845,001,002,15.0,8.0,2.0,001,001,200,230,10600,142-40 도,200,001,002,002,109,,,,12114.0,2000-0000-000,06-013845,,,,,"POLYGON ((206009.45521981802 552638.872809462, 206018.593924319 552634.096450291, 206017.451648145 552631.7075280349, 206011.947620779 552634.095955178, 206009.974569041 552638.042330966, 206009.45521981802 552638.872809462))",1m
06-0000013848,001,002,15.0,8.0,2.0,001,001,200,230,10600,469-1 도,200,001,002,002,109,5332342,,,79837.0,2010-1006-001,06-013848,005,,,,"POLYGON ((206351.015625 552986.6875, 206353.59375 552988.1875, 206353.71875 552979, 206352.640625 552979.75, 206351.015625 552980.5625, 206351.015625 552986.6875))",1m
06-0000013850,001,002,0.0,0.0,4.0,006,001,200,230,10600,329-3대,200,001,002,001,109,5331852,,,89150.0,2011-0108-138,06-013850,004,3423,,,"POLYGON ((206595.078125 552501.99999987, 206587.703125 552502.81249987, 206589.67187500102 552526.374999865, 206596.9375 552525.749999869, 206595.078125 552501.99999987))",1.5m
06-0000013851,001,003,0.0,0.0,0.0,,001,200,230,10600,329-3대,200,001,002,001,109,5331752,,,96152.0,2012-0108-012,06-013851,001,3423,,,"POLYGON ((206581.453124999 552501.999999741, 206581.156250001 552497.937499739, 206572.343749999 552498.8124997391, 206572.703125 552502.749999737, 206581.453124999 552501.999999741))",
06-0000013852,001,002,,,2.0,001,001,200,230,10600,329-3대,200,001,002,002,109,5331742,,,15808.0,2003-0108-067,06-013852,005,,,,"POLYGON ((206568.70816123902 552454.3172416531, 206577.14310674302 552453.645431834, 206576.844524602 552449.017408637, 206568.260288027 552449.7638639921, 206568.70816123902 552454.3172416531))",1m
06-0000013853,001,002,15.0,8.0,2.0,001,001,200,230,10600,477-1도,200,001,002,002,109,,,,15809.0,2003-1108-221,06-013853,001,,,,"POLYGON ((206579.824618159 552444.981170391, 206582.657483863 552444.6084985189, 206582.04770217402 552434.361012268, 206576.67993002103 552432.896961882, 206577.869514282 552446.936100977, 206579.824618159 552444.981170391))",1m
06-0000013854,001,002,15.0,8.0,2.0,001,001,200,230,10600,477-1도,200,001,002,002,109,,,,15621.0,2003-1108-221,06-013854,001,,,,"POLYGON ((206564.480236308 552434.482438834, 206574.484027733 552431.1890681371, 206572.044331595 552425.3331141509, 206561.796696811 552429.114641926, 206564.480236308 552434.482438834))",1m
06-0000013857,001,001,15.0,8.0,2.0,001,001,200,230,10600,477-1도,200,001,002,002,109,,,,17751.0,2003-1108-221,06-013857,001,,,,"POLYGON ((206499.216489396 552289.307831391, 206508.118603948 552285.397202792, 206505.435113963 552279.86232986, 206496.654599267 552283.574195176, 206499.216489396 552289.307831391))",1m
06-0000013858,001,002,15.0,8.0,2.0,001,001,200,230,10600,477-4도,200,001,002,002,109,,,,10534.0,2003-1108-221,06-013858,001,,,,"POLYGON ((206491.653112023 552272.350270993, 206499.46100115898 552268.812462799, 206497.26514838202 552263.200574974, 206488.847403289 552266.494663586, 206491.653112023 552272.350270993))",1m
06-0000013860,001,001,15.0,8.0,2.0,001,001,200,230,10600,336대,200,001,002,002,109,,,,86645.0,2005-0108-049,06-013860,005,,,,"POLYGON ((206625.739456359 552089.463814995, 206629.464863028 552090.509544051, 206626.45838580202 552076.326871576, 206623.386578361 552078.418329688, 206625.739456359 552089.463814995))",1m
06-0000013862,001,004,0.0,0.0,0.0,,001,200,230,10500,962도,200,001,002,001,109,5209854,,,109009.0,2009-0102-002,06-013862,005,121,,,"POLYGON ((205114.53125 551540.999999738, 205122.125000001 551542.37499974, 205123.468750001 551534.8124997391, 205116.062499999 551533.31249974, 205114.53125 551540.999999738))",
06-0000013865,001,003,0.0,0.0,0.0,,001,200,230,10600,952대,200,001,002,001,109,5219063,,,108632.0,2004-1108-258,06-013865,001,,,,"POLYGON ((205182.832245741 551558.007261711, 205184.749102109 551556.00445365, 205178.724958091 551549.6546982881, 205176.20134023 551550.4687637769, 205182.832245741 551558.007261711))",
06-0000013866,001,003,0.0,0.0,0.0,,001,200,230,10600,12-46대,200,001,002,001,109,5219064,,,108694.0,2004-1108-258,06-013866,001,3393,,,"POLYGON ((205208.52006683103 551591.3352519879, 205214.63787773 551597.981165299, 205218.206787619 551594.375694, 205212.387877739 551588.2311652959, 205208.52006683103 551591.3352519879))",
06-0000013868,001,003,0.0,0.0,0.0,,001,200,230,10600,444-10도,200,001,002,001,109,5219174,,,107714.0,2012-0108-042,06-013868,005,3523,,,"POLYGON ((205273.628358841 551649.952619419, 205275.28395271 551648.169732918, 205271.66317940102 551644.807470188, 205270.00758553 551646.590356699, 205273.628358841 551649.952619419))",
06-0000013872,001,002,15.0,8.0,4.0,006,001,200,230,10600,4-120대,200,001,002,001,109,5310403,,,108708.0,2011-1108-013,06-013872,010,3455,,,"POLYGON ((205419.6875 551788.8125, 205426.21875 551789.1875, 205417.53125 551774.1875, 205408.890625 551771.3125, 205419.6875 551788.8125))",1.5m
06-0000014077,001,001,15.0,8.0,2.0,001,001,200,230,10600,373-7대,200,001,002,002,109,5320732,,,79282.0,2010-1006-001,06-014077,005,,,,"POLYGON ((206053.234375 551951.375, 206054.890625 551947.4375, 206052 551942.125, 206050.171875 551942.8125, 206048.734375 551942.875, 206053.234375 551951.375))",1m
06-0000014078,001,001,15.0,8.0,2.0,001,001,200,230,10600,372-6 대,200,001,002,002,109,5320854,,,79284.0,2010-1006-001,06-014078,005,,,,"POLYGON ((206092.78125 552027.6875, 206093.046875 552026.9375, 206094.9375 552024.3125, 206089.78125 552014.25, 206087.265625 552013.5625, 206085.765625 552012.8125, 206084.796875 552012.1875, 206092.78125 552027.6875))",1m
06-0000014079,001,001,15.0,8.0,2.0,001,001,200,230,10600,383-10대,200,001,002,002,109,5320755,,,79283.0,2010-1006-001,06-014079,005,,,,"POLYGON ((206062.125 552025.125, 206065.90625 552025.125, 206060.328125 552014.4375, 206059.546875 552015.0625, 206058.921875 552015.25, 206058.171875 552015.25, 206056.9375 552015.1875, 206062.125 552025.125))",1m
06-0000013877,001,003,,,0.0,,001,200,230,10500,889대,200,001,002,001,109,5310743,,,12419.0,2004-1108-258,06-013877,001,5542,,,"POLYGON ((205549.42777770403 552000.987319057, 205550.33055633103 551998.903986995, 205552.136113582 551997.028986995, 205546.92777771 551987.86231893, 205544.70555632902 551988.41787236, 205542.5527777 551987.9317616781, 205549.42777770403 552000.987319057))",
06-0000014092,001,003,0.0,0.0,0.0,,001,200,230,10200,39-440도,200,001,002,002,109,4381071,,,96747.0,2011-0104-005,06-014092,005,53,,,"POLYGON ((203728.26 552611.969999871, 203726.820000001 552608.0799998691, 203709.53 552614.089999871, 203710.13 552616.27999987, 203712.269999999 552617.36999987, 203728.26 552611.969999871))",
06-0000014094,001,003,0.0,0.0,0.0,,001,200,230,10200,39-440도,200,001,002,001,109,4371873,,,89728.0,2011-0104-005,06-014094,005,,,,"POLYGON ((203628.51562500102 552646.312499869, 203628.48437500102 552645.062499871, 203620.593750001 552648.06249987, 203621.96874999898 552651.312499869, 203629.46875 552648.437499869, 203628.51562500102 552646.312499869))",
06-0000014095,001,003,0.0,0.0,0.0,001,001,200,230,10200,39-440도,200,001,002,001,109,4371787,,,96267.0,2011-0104-005,06-014095,005,3344,,,"POLYGON ((203568.40624999898 552670.874999869, 203567.984374999 552668.99999987, 203568.234375 552667.124999872, 203559.35937500102 552670.499999871, 203560.79687500102 552673.8124998681, 203568.40624999898 552670.874999869))",1m
06-0000014215,001,003,0.0,0.0,0.0,,001,200,230,10200,118-20대,200,001,002,001,109,4361051,,,56510.0,2000-0000-000,06-014215,,5979,,,"POLYGON ((202691.17976615 552540.238480042, 202689.04072795 552540.40349274, 202689.670763291 552548.57055908, 202691.80980148102 552548.405546379, 202691.17976615 552540.238480042))",
06-0000014216,001,003,0.0,0.0,0.0,,001,200,230,10200,118-20대,200,001,002,001,109,4361052,,,56508.0,2000-0000-000,06-014216,,5979,,,"POLYGON ((202709.438768469 552544.972043681, 202711.436209621 552544.859394021, 202711.09755907 552538.854630421, 202709.100117921 552538.967280081, 202709.438768469 552544.972043681))",
06-0000014444,001,002,,,4.0,006,001,200,230,10700,232-9대,200,001,002,001,109,4383571,,,103862.0,2012-0108-129,06-014444,005,,,,"POLYGON ((203933.65511869 553608.282904419, 203950.092067331 553612.49966165, 203952.192883081 553605.146732241, 203935.11622478103 553600.601379309, 203935.42872478 553602.1638793091, 203933.65511869 553608.282904419))",1.5m
06-0000014447,001,001,,,2.0,001,001,200,230,10600,727-24천,200,001,002,001,109,5342116,,,21783.0,2005-0108-049,06-014447,005,,,,"POLYGON ((206759.20416321 552843.638015721, 206762.745831148 552843.70745847, 206762.973613589 552831.2074602479, 206759.3625029 552831.20746025, 206759.20416321 552843.638015721))",1m
06-0000014449,001,001,15.0,8.0,2.0,001,001,200,230,10600,476-6도,200,001,002,002,109,,,,77927.0,2004-0508-037,06-014449,001,,,,"POLYGON ((206524.18661882 552590.1886038531, 206534.736124257 552589.329903892, 206533.059645458 552586.0996354, 206525.985761969 552586.385860468, 206524.922629676 552588.880118104, 206524.18661882 552590.1886038531))",1m
06-0000014450,001,001,15.0,8.0,2.0,001,001,200,230,10600,476-7도,200,001,002,002,109,,,,13923.0,2003-0108-045,06-014450,005,,,,"POLYGON ((206518.89445048603 552600.07681105, 206523.446572789 552599.8435878729, 206523.186365931 552589.352208751, 206518.6878149 552593.219391148, 206518.89445048603 552600.07681105))",1m
06-0000014451,001,001,15.0,8.0,2.0,001,001,200,230,10600,476-7도,200,001,002,002,109,,,,77928.0,2004-0508-037,06-014451,001,,,,"POLYGON ((206522.924599465 552600.2790401271, 206526.831143379 552604.143103309, 206534.983903769 552603.54864538, 206538.29596499802 552598.920250855, 206522.754750806 552599.939342809, 206522.924599465 552600.2790401271))",1m
06-0000014549,001,001,15.0,8.0,2.0,001,001,200,230,10200,696-1제,200,001,002,002,109,,,,38816.0,2008-1112-845,06-014549,001,,,,"POLYGON ((203085.031556956 553075.120116277, 203095.035274114 553075.399954383, 203095.181679153 553071.434665262, 203085.031556956 553071.253404239, 203085.031556956 553075.120116277))",1m
06-0000014550,001,001,15.0,8.0,2.0,001,001,200,230,10200,51-3대,200,001,002,002,109,,,,38823.0,2008-1112-845,06-014550,005,,,,"POLYGON ((203224.257970783 553123.584739084, 203224.67847061102 553122.203100328, 203225.279191725 553121.121822128, 203225.939970096 553120.400986498, 203227.02122354103 553119.680126113, 203216.74913015298 553119.5599868421, 203216.555070447 553123.639424362, 203224.257970783 553123.584739084))",1m
06-0000014551,001,001,15.0,8.0,2.0,001,001,200,230,10200,51-3대,200,001,002,002,109,,,,38822.0,2008-1112-845,06-014551,005,,,,"POLYGON ((203225.399330996 553120.761404313, 203226.360445169 553120.100625942, 203227.14136281202 553119.680126113, 203229.237128412 553119.428385694, 203229.36400122603 553111.750785655, 203228.282723026 553111.630646383, 203227.201444826 553111.270228569, 203226.120166626 553110.489310925, 203225.399330996 553109.5882292549, 203225.399330996 553120.761404313))",1m
06-0000014461,001,001,15.0,8.0,2.0,001,001,200,230,10600,476-6도,200,001,002,002,109,,,,13925.0,2004-0508-037,06-014461,001,,,,"POLYGON ((206532.313559044 552731.845826531, 206541.067238593 552731.379157376, 206540.95039182602 552727.410922331, 206531.84684037798 552728.110690884, 206532.313559044 552731.845826531))",1m
06-0000014462,001,001,15.0,8.0,2.0,001,001,200,230,10600,476-5도,200,001,002,002,109,,,,18437.0,2003-0108-045,06-014462,005,,,,"POLYGON ((206527.61017959102 552737.9172043661, 206530.949769127 552740.8172569621, 206530.598436643 552729.83281914, 206527.434835173 552732.468753482, 206527.61017959102 552737.9172043661))",1m
06-0000014552,001,001,15.0,8.0,2.0,001,001,200,230,10200,47-2도,200,001,002,002,109,,,,38821.0,2008-1112-845,06-014552,001,,,,"POLYGON ((203216.20849105302 553107.966336711, 203224.738552625 553108.14653324, 203224.72067903 553104.135124304, 203216.088351781 553103.941584468, 203216.20849105302 553107.966336711))",1m
06-0000014244,001,003,15.0,8.0,0.0,001,001,150,230,10200,237-10도,200,003,002,001,109,,,,64509.0,2009-0108-028,06-014244,005,,,,"POLYGON ((202693.06051047498 552325.8523015219, 202696.072136881 552323.0206736011, 202695.572121837 552315.4206578351, 202692.072140309 552314.920667547, 202693.06051047498 552325.8523015219))",1m
06-0000014245,001,003,0.0,0.0,0.0,,001,200,230,10200,127-10대,200,001,002,001,109,4351913,,,102961.0,2000-0000-000,06-014245,004,,,,"POLYGON ((202674.25 552318.68749974, 202671.578125 552319.749999742, 202673.343750001 552325.99999974, 202676.07812500102 552327.49999974, 202674.25 552318.68749974))",
06-0000014341,001,002,0.0,0.0,2.0,001,001,200,230,10600,469-16도,200,001,002,001,109,5331259,,,76653.0,2010-1006-001,06-014341,005,366,,,"POLYGON ((206284.343750001 552512.687499869, 206290.4375 552516.31249987, 206294.265625 552510.124999871, 206288.03125 552506.624999868, 206284.343750001 552512.687499869))",1m
06-0000014342,001,002,0.0,0.0,4.0,001,001,200,230,10600,310-1대,200,001,002,001,109,5331258,,,76660.0,2010-1006-001,06-014342,005,366,,,"POLYGON ((206307.24999999898 552548.374999869, 206315.343749999 552547.624999868, 206310.578125 552528.93749987, 206302.500000001 552529.812499871, 206307.24999999898 552548.374999869))",1m
06-0000014344,001,003,0.0,0.0,0.0,,001,200,230,10600,325공,200,001,002,002,109,5331552,,,76661.0,2004-0508-037,06-014344,004,,,,"POLYGON ((206427.296875 552539.374999868, 206429.0625 552541.6874998681, 206437.281250001 552540.999999868, 206437.312499999 552539.874999869, 206437.609375 552539.124999872, 206438.218750001 552538.31249987, 206427.296875 552539.374999868))",
06-0000014345,001,003,0.0,0.0,0.0,,001,200,230,10600,325공,200,001,002,002,109,5331553,,,77923.0,2004-1108-296,06-014345,004,,,,"POLYGON ((206426.140624999 552515.99999987, 206437.093749999 552517.56249987, 206436.609375 552515.1874998681, 206426.78125 552513.812499871, 206426.140624999 552515.99999987))",
06-0000014346,001,003,0.0,0.0,0.0,,001,200,230,10600,475-4도,200,001,002,001,109,5331162,,,77924.0,2005-0108-021,06-014346,004,,,,"POLYGON ((206235.58750004 552556.36874409, 206235.96250004 552559.743744089, 206242.900000041 552559.3062440881, 206242.58750003902 552555.93124409, 206235.58750004 552556.36874409))",
06-0000014348,001,001,15.0,8.0,2.0,001,001,200,230,10600,469-16도,200,001,002,001,109,5331242,,,76651.0,2010-1006-001,06-014348,005,,,,"POLYGON ((206291.0625 552472.625, 206294.78125 552472.125, 206286.703125 552456.25, 206286.078125 552457.75, 206285.625 552458.375, 206284.40625 552459.5, 206291.0625 552472.625))",1m
06-0000014349,001,001,15.0,8.0,2.0,001,001,200,230,10600,306-12대,200,001,002,002,109,5331127,,,79756.0,2010-1006-001,06-014349,005,3436,,,"POLYGON ((206247.234375 552394.25, 206250.296875 552393.125, 206248.5625 552384.3125, 206245.4375 552385.5625, 206247.234375 552394.25))",1m
06-0000014351,001,001,15.0,8.0,2.0,001,001,200,230,10600,469-4도,200,001,002,002,109,5331126,,,89515.0,2010-1006-001,06-014351,005,,,,"POLYGON ((206276.0625 552382.375, 206277.046875 552381.1875, 206277.6875 552380.75, 206273.90625 552373.25, 206272.578125 552373.25, 206271.109375 552373, 206269.859375 552372.5625, 206275.484375 552383.6875, 206276.0625 552382.375))",1m
06-0000014352,001,002,,,2.0,001,001,200,230,10600,477-2도,200,001,002,002,109,5330571,,,12429.0,2003-1108-221,,001,7977,,,"POLYGON ((206434.20057151 552141.184724239, 206443.758884629 552137.474344268, 206441.622420709 552132.41408706, 206431.95164257102 552135.899636027, 206434.20057151 552141.184724239))",1m
06-0000014473,001,002,0.0,0.0,4.0,001,001,200,230,10200,138-27대,200,001,002,001,109,4352971,,,68292.0,2004-0108-050,06-014473,005,362,,,"POLYGON ((202673.738000001 553150.876999871, 202670.55899999902 553145.4629998719, 202665.52700000102 553148.374999869, 202668.638999999 553153.788999871, 202673.738000001 553150.876999871))",1m
06-0000014354,001,001,15.0,8.0,2.0,001,001,200,230,10600,307-6대,200,001,002,002,109,5331003,,,79754.0,2010-1006-001,06-014354,005,,,,"POLYGON ((206184.890625 552263.75, 206187.390625 552263.1875, 206183.71875 552255.5625, 206183.515625 552256.75, 206183.09375 552257.4375, 206182.171875 552258.375, 206184.890625 552263.75))",1m
06-0000014355,001,002,15.0,8.0,2.0,001,001,200,230,10600,469-5도,200,001,002,002,109,5330094,,,89516.0,2004-0108-109,06-014355,005,,,,"POLYGON ((206209.90625 552254.1875, 206212.21875 552252.25, 206209.125 552244.9375, 206205.734375 552245.3125, 206204.75 552245.125, 206209.28125 552255.25, 206209.90625 552254.1875))",1m
06-0000014358,001,001,15.0,8.0,2.0,001,001,200,230,10600,371-6대,200,001,002,002,109,5320972,,,79287.0,2010-1006-001,06-014358,005,,,,"POLYGON ((206148.625 552133.375, 206150.515625 552131, 206147.328125 552125.6875, 206145.6875 552126.5625, 206144.578125 552126.625, 206148.625 552133.375))",1m
06-0000014360,001,003,15.0,8.0,0.0,001,001,200,230,10500,536도,200,001,002,002,109,,,,78637.0,2007-0108-001,06-014360,001,,,,"POLYGON ((204844.136566868 552090.944823015, 204847.205428385 552088.119804858, 204842.096872864 552082.792310182, 204839.10472917202 552085.711498912, 204844.136566868 552090.944823015))",1m
06-0000014479,001,003,,,0.0,001,001,200,230,10100,101-5대,200,001,002,001,109,4341765,,,104368.0,2012-1108-090,06-014479,004,,,,"POLYGON ((202074.262500012 552551.431244218, 202074.01250001302 552558.368744218, 202076.200000012 552558.4312442191, 202076.325000012 552551.618744217, 202074.262500012 552551.431244218))",1m
06-0000014133,001,003,0.0,0.0,0.0,001,001,200,230,10500,10-9도,200,001,002,001,109,5311161,,,92560.0,2012-0508-002,06-014133,005,3417,,,"POLYGON ((205262.90132184 552583.527428002, 205261.490581739 552579.48494642, 205253.683567629 552579.64403321, 205254.296972301 552581.47151072, 205253.43450974 552581.485991129, 205253.068086161 552583.653102751, 205262.90132184 552583.527428002))",1m
06-0000014134,001,001,15.0,8.0,2.0,001,001,200,230,10500,58-99도,200,003,002,002,109,,,,92559.0,2012-0508-002,06-014134,005,,,,"POLYGON ((205236.843673716 552506.24880737, 205247.509407029 552505.268532308, 205247.209393052 552501.368523892, 205236.709398956 552501.668537869, 205236.843673716 552506.24880737))",1m
06-0000014362,001,003,0.0,0.0,0.0,001,001,200,230,10600,123-11 대,200,001,002,001,109,5321769,,,92561.0,2012-0508-002,06-014362,005,3421,,,"POLYGON ((206055.625 552553.31249987, 206053.42187500102 552550.624999869, 206044.953124999 552551.99999987, 206045.125000001 552554.99999987, 206055.625 552553.31249987))",1m
06-0000014364,001,003,,,,,001,200,230,10500,250-15대,200,001,002,002,109,5300573,,,3165.0,2003-0108-071,06-014364,004,,,,"POLYGON ((204949.96484357698 552144.5581247141, 204960.16478981 552148.922016488, 204961.677215889 552144.889076721, 204951.68169089398 552140.452620265, 204949.96484357698 552144.5581247141))",
06-0000014367,001,001,,,2.0,001,001,200,230,10500,36-22대,200,001,002,001,109,5300663,,,101562.0,2006-0108-161,06-014367,004,7012,,,"POLYGON ((205020.66227547 552052.331248848, 205025.514235272 552060.8408398869, 205029.097220973 552058.900055966, 205024.17061563503 552050.091882785, 205020.66227547 552052.331248848))",1m
06-0000014368,001,001,0.0,0.0,2.0,001,001,200,230,10600,291-1대,200,001,002,001,109,5321953,,,104360.0,2000-0000-000,06-014368,,3422,,,"POLYGON ((206159.396525771 552542.361891681, 206159.216606831 552540.860597098, 206153.314252649 552541.490458829, 206153.38362585 552542.13848377, 206152.38050057102 552542.317461189, 206152.43989884 552543.055733538, 206159.396525771 552542.361891681))",1m
06-0000014281,001,003,0.0,0.0,0.0,,001,200,230,10500,808 대,200,001,002,001,109,5310861,,,108704.0,2012-0108-042,06-014281,005,,,,"POLYGON ((205585.44884571 552060.541293318, 205588.074811941 552064.605288677, 205590.20059412 552063.29230556, 205587.51210489 552059.228310211, 205585.44884571 552060.541293318))",
06-0000014282,001,003,0.0,0.0,0.0,,001,200,230,10500,808 대,200,001,002,001,109,5310881,,,12183.0,2004-1108-258,06-014282,001,,,,"POLYGON ((205621.29375003302 552163.981244185, 205622.793750034 552166.356244184, 205623.981250032 552166.293744185, 205624.98125003302 552166.481244184, 205626.41875003302 552166.856244184, 205619.918750034 552155.7937441841, 205619.356250034 552157.981244184, 205618.981250034 552159.793744183, 205619.91875003302 552161.731244184, 205621.29375003302 552163.981244185))",
06-0000014283,001,003,0.0,0.0,0.0,,001,200,230,10600,2-24학,200,001,002,001,109,5310982,,,108703.0,2012-0108-042,06-014283,005,3465,,,"POLYGON ((205667.780998599 552198.020313449, 205668.96935844 552194.8219544691, 205665.01911378902 552188.31639384, 205661.43612809098 552187.793875089, 205667.780998599 552198.020313449))",
06-0000014284,001,003,0.0,0.0,0.0,,001,200,230,10500,2-24학,200,001,002,001,109,5310994,,,63685.0,2000-0000-000,06-014284,004,3465,,,"POLYGON ((205647.10418528 552202.872273251, 205645.16340136 552204.663766099, 205647.85064064 552209.2917893011, 205650.68717098 552208.8439160789, 205647.10418528 552202.872273251))",
06-0000014286,001,003,15.0,8.0,0.0,001,001,200,230,10600,3-125대,200,001,002,001,109,,,,108701.0,2004-1108-258,06-014286,001,,,,"POLYGON ((205703.469758987 552254.70157814, 205704.631986619 552254.012445448, 205701.028978348 552247.93594551, 205699.866750718 552248.6250782, 205703.469758987 552254.70157814))",1m
06-0000014374,001,002,15.0,8.0,4.0,001,001,200,230,10600,471-2도,200,001,002,002,109,,,,74503.0,2000-0000-000,06-014374,,,,,"POLYGON ((205723.317588225 551946.493526769, 205718.70917152602 551938.197356777, 205712.947784203 551939.9254263941, 205717.786899001 551948.22174492, 205723.317588225 551946.493526769))",1m
