NO,ATNRG_NM,SAFETY_ADDR,CCTV_USE,LA,LO,CCTV_QTY,UPDATE_DT,PLCST_NM,PLCST_DEPT_NM,PLCST_DEPT_CD,CTPR_PLAGC_NM
50376,동대문구,천장산로 38-1 보조2,어린이안전,37.5993672,127.0576532,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50478,동대문구,이문동 264-509(경희대 부지의릉경계부) 메인 (143071),도심공원,37.59977169,127.053145,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50479,동대문구,이문동 264-509(경희대 부지의릉경계부) 보조1,도심공원,37.59977169,127.053145,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50481,동대문구,외대역동로35길 15 메인 (151028),방범,37.59980044,127.0671644,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50482,동대문구,외대역동로35길 15 보조1,방범,37.59980044,127.0671644,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50483,동대문구,외대역동로35길 15 보조2,방범,37.59980044,127.0671644,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50484,동대문구,외대역동로35길 15 보조3,방범,37.59980044,127.0671644,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50554,동대문구,이문로 42길 70-15 메인 (151011),방범,37.60006651,127.0660813,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50555,동대문구,이문로 42길 70-15 보조1,방범,37.60006651,127.0660813,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50556,동대문구,이문로 42길 70-15 보조2,방범,37.60006651,127.0660813,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50560,동대문구,신이문로18길 64 메인 (151027),방범,37.60009143,127.0653409,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50561,동대문구,신이문로18길 64 보조1,방범,37.60009143,127.0653409,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
50562,동대문구,신이문로18길 64 보조2,방범,37.60009143,127.0653409,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
