주소,병원분류명,경도,위도
"서울특별시 동대문구 홍릉로12길 4, 지하1, 1, 2층 (청량리동)",한의원,127.044061997258,37.5850184486713
서울특별시 동대문구 답십리로 252 (장안동),의원,127.0681547875534,37.572304329812816
"서울특별시 동대문구 이문로 32, 2층 (휘경동)",의원,127.056278989218,37.5902370310645
서울특별시 동대문구 사가정로 111-2 (전농동),치과의원,127.05721016984457,37.57749986983338
서울특별시 동대문구 전농로38길 8 (전농동),의원,127.052572280742,37.5856886376313
"서울특별시 동대문구 이문로 125, 2층 (이문동)",치과의원,127.06091209001,37.5978850507988
서울특별시 동대문구 답십리로 289 (장안동),치과의원,127.072438425548,37.5725258603826
"서울특별시 동대문구 약령중앙로 16, 1층 (제기동)",한의원,127.03709210659999,37.5796270471
"서울특별시 동대문구 제기로4나길 37, 1층 (제기동)",한의원,127.0350202818,37.5842840146
"서울특별시 동대문구 전농로15길 8, 2층 (전농동)",의원,127.0567442956,37.5782353096
"서울특별시 동대문구 무학로 88 (용두동, 지하2~지상8층)",요양병원,127.031273373243,37.5721224568918
서울특별시 동대문구 고산자로 445-1 (제기동),한의원,127.03794770149727,37.57953435848447
"서울특별시 동대문구 고산자로 441, 1층 (제기동)",한의원,127.038004580324,37.5789620035398
"서울특별시 동대문구 사가정로2길 142, (답십리동)",한의원,127.0562514211462,37.567113660313325
"서울특별시 동대문구 한천로11길 16, A빌딩 2층 (답십리동)",한의원,127.061517245965,37.5673575504382
"서울특별시 동대문구 경희대로 23 (회기동, 경희의료원)",치과병원,127.050741696591,37.5937762050989
"서울특별시 동대문구 약령중앙로 8-1, 1층 (제기동)",한의원,127.037006431709,37.5789914227741
서울특별시 동대문구 경희대로 23 (회기동),한방병원,127.05183222177224,37.59385853054136
"서울특별시 동대문구 왕산로 183, 3층 (청량리동)",한의원,127.043578527298,37.5799193656574
서울특별시 동대문구 약령중앙로 8   (제기동),한의원,127.036996750279,37.5788728549979
"서울특별시 동대문구 왕산로 171, 5층 501호 (제기동)",치과의원,127.042100208729,37.579486343894
서울특별시 동대문구 홍릉로 34-1 (청량리동),의원,127.044382104526,37.5833689706382
서울특별시 동대문구 약령중앙로 25(제기동),한의원,127.036915302732,37.5806051313301
서울특별시 동대문구 전농로 134 (전농동),의원,127.057996432568,37.5768510443127
"서울특별시 동대문구 회기로 171-1, 2층 (회기동)",한의원,127.0552499702,37.5905147525
"서울특별시 동대문구 홍릉로 5, 2층 (청량리동)",치과의원,127.0447330221,37.5808242523432
서울특별시 동대문구 약령중앙로 10 (제기동),한의원,127.0371042918687,37.57908734792106
"서울특별시 동대문구 답십리로 273, 한양빌딩 4층 (장안동)",치과의원,127.070822317885,37.5726844249689
"서울특별시 동대문구 천호대로 425, 4층 (장안동)",의원,127.066468745001,37.5618156326667
"서울특별시 동대문구 망우로 78, 2층 (휘경동)",치과의원,127.06217365798464,37.58978121908012
"서울특별시 동대문구 장한로 3, 승원빌딩 7층 (장안동)",의원,127.064573772246,37.5621355469546
서울특별시 동대문구 한천로 89 (답십리동),의원,127.063984681811,37.569580706757
"서울특별시 동대문구 왕산로 109, 2층 (제기동, 한솔동의보감)",한의원,127.0359368959449,37.5786507269846
서울특별시 동대문구 휘경로 22 (이문동),치과의원,127.062297708781,37.5953567769299
"서울특별시 동대문구 사가정로25길 22-4, 1층 (장안동)",한의원,127.070615072414,37.5796614885561
서울특별시 동대문구 망우로 93 (휘경동),한의원,127.063464829662,37.5907142456335
서울특별시 동대문구 왕산로 256 (전농동),한의원,127.0498965074,37.5835542652
서울특별시 동대문구 약령서길 16 (제기동),한의원,127.03622238899275,37.57907951287892
"서울특별시 동대문구 답십리로48가길 46, 2층 (답십리동)",의원,127.057920287959,37.5710598481995
"서울특별시 동대문구 답십리로 160, 2층 (답십리동)",치과의원,127.057824693127,37.5727435844348
"서울특별시 동대문구 사가정로 148, 2층 (전농동)",의원,127.061567688813,37.5766590358858
서울특별시 동대문구 천호대로 72 (용두동),의원,127.031421189052,37.5736878062494
"서울특별시 동대문구 홍릉로 6-2, 2층 (청량리동)",의원,127.045365455325,37.5808776201137
"서울특별시 동대문구 한천로 45, 정민빌딩 1층 (답십리동)",한의원,127.061271930579,37.566215755962
서울특별시 동대문구 약령중앙로 37-2 (제기동),한의원,127.0369889876,37.5817173849
"서울특별시 동대문구 이문로9길 8, 2층 1호,2호 (이문동)",기타,127.0574348636,37.5929716157
"서울특별시 동대문구 전농로10길 20, 207호 (답십리동, 청솔우성아파트상가)",치과의원,127.060129124176,37.5746094744702
"서울특별시 동대문구 망우로21길 4, 2층 (휘경동)",의원,127.062997943849,37.5906525074882
"서울특별시 동대문구 천호대로 13, 2층 (신설동)",치과의원,127.025105231447,37.5749662081003
서울특별시 동대문구 왕산로 183,의원,127.043578527298,37.5799193656574
"서울특별시 동대문구 답십리로 9, 시대빌딩 4층 (전농동)",의원,127.043528549832,37.5784693244422
서울특별시 동대문구 한천로 120 (장안동),의원,127.06600446671,37.5718196489546
"서울특별시 동대문구 천호대로 307, 3층 (답십리동)",의원,127.054762202414,37.5657983700541
"서울특별시 동대문구 답십리로 145-1, 2층 (답십리동)",한의원,127.05632380097822,37.57307101079829
"서울특별시 동대문구 전농로16길 30, 지하1,1층 (전농동)",한의원,127.05898118683662,37.57811438090647
서울특별시 동대문구 왕산로 225 (청량리동),의원,127.047209103701,37.5821227010138
"서울특별시 동대문구 홍릉로 3, 3층 (청량리동)",의원,127.044221464535,37.5807111901805
서울특별시 동대문구 답십리로66길 105 (장안동),한의원,127.06595513349018,37.56822587267105
"서울특별시 동대문구 고산자로 399, 302호 (용두동)",의원,127.037769621436,37.5752762915537
"서울특별시 동대문구 망우로 67, 201호 (휘경동)",한의원,127.06060678115006,37.58996941865211
"서울특별시 동대문구 약령중앙로 38, 1층 (제기동)",한의원,127.0373376209,37.5815911361
"서울특별시 동대문구 서울시립대로 36, 3층 (전농동)",치과의원,127.046901294623,37.5745726736618
"서울특별시 동대문구 전농로 38, 6층 (답십리동)",의원,127.057240883237,37.5682540295405
서울특별시 동대문구 전농로 73-17  (답십리동),의원,127.056192365869,37.5714005386636
"서울특별시 동대문구 답십리로 250, 2층 (장안동)",의원,127.06787119865,37.5724234284023
"서울특별시 동대문구 사가정로 225, 3층 (장안동)",치과의원,127.070138685336,37.5789379141327
"서울특별시 동대문구 답십리로 273, 한양빌딩 5층 (장안동)",의원,127.070822317885,37.5726844249689
"서울특별시 동대문구 전농로 36, 답십리포레스트스퀘어 4층 402호 (답십리동)",의원,127.057406070901,37.5680105003259
서울특별시 동대문구 전농로 134 (전농동),의원,127.057996432568,37.5768510443127
"서울특별시 동대문구 왕산로 193, 6층, 7층 (청량리동)",의원,127.044533186272,37.5802253472646
"서울특별시 동대문구 고미술로 81, 206, 207, 208호 (답십리동)",치과의원,127.055721897581,37.5656002424883
"서울특별시 동대문구 사가정로 148, 202~204호 (전농동)",한의원,127.0590119660944,37.57739604686156
"서울특별시 동대문구 망우로 123, 5층 (휘경동)",의원,127.06659655052,37.591711720367
"서울특별시 동대문구 약령중앙로6길 16, 1층 (제기동)",한의원,127.0379847519,37.5807115598
