2025년03월_65세이상전체,동이름,elderly_norm
1587,회기동,0.0
2183,휘경1동,0.0985938792390405
5923,청량리동,0.7172870140612077
6980,용신동,0.8921422663358147
5900,제기동,0.7134822167080231
6517,전농1동,0.8155500413564929
4147,전농2동,0.42349048800661704
6304,답십리2동,0.7803143093465674
7632,장안1동,1.0
6161,장안2동,0.7566583953680728
3345,이문1동,0.29081885856079404
4340,이문2동,0.4554177005789909
4679,답십리1동,0.5114971050454922
4490,휘경2동,0.4802315963606286
