노드 ID,정류소번호,정류소명,X좌표,Y좌표,정류소 타입,geometry
105000163,6249,우리은행장안지점앞,127.0676384821,37.565598658,일반차로,POINT (127.0676384821 37.565598658)
105000164,6250,북한연구소앞,127.0661434798,37.5634648165,일반차로,POINT (127.0661434798 37.5634648165)
105000165,6251,장한평역,127.064928,37.562295,일반차로,POINT (127.064928 37.562295)
105000166,6252,장한평역,127.0654362294,37.5624370636,일반차로,POINT (127.0654362294 37.5624370636)
105000167,6253,신이문역,127.067899,37.602617,일반차로,POINT (127.067899 37.602617)
105000168,6254,이문동현대아파트앞,127.070708,37.601002,일반차로,POINT (127.070708 37.601002)
105000169,6255,이문동현대아파트,127.0709847069,37.6008590191,일반차로,POINT (127.0709847069 37.6008590191)
105000170,6256,휘경2동주민센터,127.0680485017,37.5907361464,일반차로,POINT (127.0680485017 37.5907361464)
105000171,6257,휘경2동주민센터,127.068086,37.590505,일반차로,POINT (127.068086 37.590505)
105000172,6258,동부아동상담소.동국대부속중고,127.0763833794,37.576833541,일반차로,POINT (127.0763833794 37.576833541)
105000173,6259,장안삼성래미안2차아파트,127.0766223278,37.574681581,일반차로,POINT (127.0766223278 37.574681581)
105000174,6260,장안삼성래미안2차아파트.성복교회,127.076813,37.572847,일반차로,POINT (127.076813 37.572847)
105000175,6261,장안현대홈타운아파트앞,127.073388625,37.5697591707,일반차로,POINT (127.073388625 37.5697591707)
105000176,6262,구민회관앞,127.073943,37.566387,일반차로,POINT (127.073943 37.566387)
105000177,6263,파라브아파트,127.0723739757,37.5635828092,일반차로,POINT (127.0723739757 37.5635828092)
105000178,6264,장안현대홈타운상가,127.074378,37.571308,일반차로,POINT (127.074378 37.571308)
105000179,6265,장안현대홈타운앞,127.075618,37.56929,일반차로,POINT (127.075618 37.56929)
105000180,6266,장안치안센터,127.072502,37.567945,일반차로,POINT (127.072502 37.567945)
105000181,6267,장안치안센터,127.072702,37.568223,일반차로,POINT (127.072702 37.568223)
105000182,6268,장평중학교,127.0709395499,37.565745401,일반차로,POINT (127.0709395499 37.565745401)
105000183,6269,회기역종점,127.0588619251,37.5899003691,일반차로,POINT (127.0588619251 37.5899003691)
105000184,6270,경희대입구,127.053012,37.591272,일반차로,POINT (127.053012 37.591272)
105000185,6271,경희대입구,127.052713,37.591583,일반차로,POINT (127.052713 37.591583)
105000186,6272,서울바이오허브.농촌경제연구원,127.050135,37.591388,일반차로,POINT (127.050135 37.591388)
105000187,6273,서울바이오허브.농촌경제연구원,127.049277,37.591608,일반차로,POINT (127.049277 37.591608)
105000188,6274,한국과학기술원.홍릉초등학교,127.045747,37.591769,일반차로,POINT (127.045747 37.591769)
105000189,6275,한국과학기술원.홍릉초등학교,127.046963,37.591545,일반차로,POINT (127.046963 37.591545)
105000190,6276,국방연구원,127.041182,37.591413,일반차로,POINT (127.041182 37.591413)
105000191,6277,국방연구원,127.040058371,37.5911039928,일반차로,POINT (127.040058371 37.5911039928)
105000192,6278,세종대왕기념관,127.042380198,37.5898533719,일반차로,POINT (127.042380198 37.5898533719)
105000193,6279,세종대왕기념관,127.0425673859,37.5904615395,일반차로,POINT (127.0425673859 37.5904615395)
105000194,6280,영휘원사거리.(구)홍릉사거리,127.0431751633,37.5860009275,일반차로,POINT (127.0431751633 37.5860009275)
105000195,6281,영휘원사거리.(구)홍릉사거리,127.043466176,37.586014337,일반차로,POINT (127.043466176 37.586014337)
105000196,6282,동대문경찰서,127.0438781813,37.583817328,일반차로,POINT (127.0438781813 37.583817328)
105000197,6283,동대문경찰서,127.0442607393,37.5835585724,일반차로,POINT (127.0442607393 37.5835585724)
